DATE,RAINFALL
6/1/1956,780.2
7/1/1956,1325.8
8/1/1956,700.8
9/1/1956,433.4
10/1/1956,195
11/1/1956,46
12/1/1956,0
1/1/1957,0
2/1/1957,0
3/1/1957,0
4/1/1957,1.7
5/1/1957,30.6
6/1/1957,593.8
7/1/1957,1175
8/1/1957,1051.7
9/1/1957,130.6
10/1/1957,86.6
11/1/1957,52.9
12/1/1957,0.6
1/1/1958,0.2
2/1/1958,0.1
3/1/1958,0.2
4/1/1958,9
5/1/1958,34.8
6/1/1958,1044.5
7/1/1958,1280.2
8/1/1958,1177.9
9/1/1958,383.7
10/1/1958,54.8
11/1/1958,14.7
12/1/1958,0.2
1/1/1959,0
2/1/1959,0
3/1/1959,0
4/1/1959,6
5/1/1959,36.2
6/1/1959,750.1
7/1/1959,1357.1
8/1/1959,690.9
9/1/1959,521.8
10/1/1959,201.4
11/1/1959,24.8
12/1/1959,0.3
1/1/1960,0
2/1/1960,0
3/1/1960,0
4/1/1960,1.1
5/1/1960,81
6/1/1960,920.1
7/1/1960,1140.9
8/1/1960,501.8
9/1/1960,285.1
10/1/1960,82
11/1/1960,15.3
12/1/1960,0.5
1/1/1961,0
2/1/1961,5.2
3/1/1961,0
4/1/1961,2.3
5/1/1961,182.2
6/1/1961,738
7/1/1961,1543.3
8/1/1961,712.6
9/1/1961,486.1
10/1/1961,248.9
11/1/1961,2.4
12/1/1961,0
1/1/1962,0.2
2/1/1962,0
3/1/1962,0.1
4/1/1962,0.7
5/1/1962,129.5
6/1/1962,435.5
7/1/1962,1355.1
8/1/1962,880.4
9/1/1962,525.9
10/1/1962,48.8
11/1/1962,12.8
12/1/1962,96.2
1/1/1963,0
2/1/1963,0.1
3/1/1963,0.1
4/1/1963,1.1
5/1/1963,7.6
6/1/1963,594.5
7/1/1963,1178.8
8/1/1963,1414.7
9/1/1963,306.3
10/1/1963,91.9
11/1/1963,11.7
12/1/1963,0
1/1/1964,0
2/1/1964,0
3/1/1964,0
4/1/1964,0.9
5/1/1964,5.2
6/1/1964,690.3
7/1/1964,908.3
8/1/1964,1031.8
9/1/1964,378.9
10/1/1964,158
11/1/1964,18.9
12/1/1964,0.4
1/1/1965,3.4
2/1/1965,0
3/1/1965,0
4/1/1965,5.7
5/1/1965,0.1
6/1/1965,817.6
